family,dimension,operation,cloned_allocations,borrowed_allocations,cloned_bytes,borrowed_bytes
small,2,det,0,0,0,0
small,2,det_sign,0,0,0,0
small,2,solve,0,0,0,0
small,2,matrix_component_clones,0,0,0,0
small,2,matrix_scaled_cloned,0,0,0,0
small,2,matrix_scaled_borrowed,0,0,0,0
small,2,augmented_component_clones,0,0,0,0
small,2,augmented_scaled_cloned,0,0,0,0
small,2,augmented_scaled_borrowed,0,0,0,0
wide256,2,det,51,47,2376,2216
wide256,2,det_sign,43,39,1896,1736
wide256,2,solve,103,97,4952,4712
wide256,2,matrix_component_clones,8,8,320,320
wide256,2,matrix_scaled_cloned,16,16,672,672
wide256,2,matrix_scaled_borrowed,12,12,512,512
wide256,2,augmented_component_clones,12,12,480,480
wide256,2,augmented_scaled_cloned,28,28,1184,1184
wide256,2,augmented_scaled_borrowed,22,22,944,944
wide1024,2,det,55,51,8136,7592
wide1024,2,det_sign,43,39,6216,5672
wide1024,2,solve,104,98,16592,15776
wide1024,2,matrix_component_clones,8,8,1088,1088
wide1024,2,matrix_scaled_cloned,16,16,2208,2208
wide1024,2,matrix_scaled_borrowed,12,12,1664,1664
wide1024,2,augmented_component_clones,12,12,1632,1632
wide1024,2,augmented_scaled_cloned,28,28,3872,3872
wide1024,2,augmented_scaled_borrowed,22,22,3056,3056
small,3,det,0,0,0,0
small,3,det_sign,0,0,0,0
small,3,solve,0,0,0,0
small,3,matrix_component_clones,0,0,0,0
small,3,matrix_scaled_cloned,0,0,0,0
small,3,matrix_scaled_borrowed,0,0,0,0
small,3,augmented_component_clones,0,0,0,0
small,3,augmented_scaled_cloned,0,0,0,0
small,3,augmented_scaled_borrowed,0,0,0,0
wide256,3,det,164,155,7864,7504
wide256,3,det_sign,153,144,7032,6672
wide256,3,solve,274,262,15064,14584
wide256,3,matrix_component_clones,18,18,720,720
wide256,3,matrix_scaled_cloned,54,54,2304,2304
wide256,3,matrix_scaled_borrowed,45,45,1944,1944
wide256,3,augmented_component_clones,24,24,960,960
wide256,3,augmented_scaled_cloned,64,64,2720,2720
wide256,3,augmented_scaled_borrowed,52,52,2240,2240
wide1024,3,det,166,157,25872,24648
wide1024,3,det_sign,153,144,22872,21648
wide1024,3,solve,294,282,53912,52280
wide1024,3,matrix_component_clones,18,18,2448,2448
wide1024,3,matrix_scaled_cloned,54,54,7488,7488
wide1024,3,matrix_scaled_borrowed,45,45,6264,6264
wide1024,3,augmented_component_clones,24,24,3264,3264
wide1024,3,augmented_scaled_cloned,64,64,8864,8864
wide1024,3,augmented_scaled_borrowed,52,52,7232,7232
small,4,det,0,0,0,0
small,4,det_sign,0,0,0,0
small,4,solve,5,5,80,80
small,4,matrix_component_clones,0,0,0,0
small,4,matrix_scaled_cloned,0,0,0,0
small,4,matrix_scaled_borrowed,0,0,0,0
small,4,augmented_component_clones,0,0,0,0
small,4,augmented_scaled_cloned,0,0,0,0
small,4,augmented_scaled_borrowed,0,0,0,0
wide256,4,det,334,318,17592,16952
wide256,4,det_sign,322,306,16384,15744
wide256,4,solve,517,497,32976,32176
wide256,4,matrix_component_clones,32,32,1280,1280
wide256,4,matrix_scaled_cloned,96,96,4096,4096
wide256,4,matrix_scaled_borrowed,80,80,3456,3456
wide256,4,augmented_component_clones,40,40,1600,1600
wide256,4,augmented_scaled_cloned,108,108,4592,4592
wide256,4,augmented_scaled_borrowed,88,88,3792,3792
wide1024,4,det,338,322,57624,55448
wide1024,4,det_sign,322,306,53152,50976
wide1024,4,solve,586,566,124696,121976
wide1024,4,matrix_component_clones,32,32,4352,4352
wide1024,4,matrix_scaled_cloned,96,96,13312,13312
wide1024,4,matrix_scaled_borrowed,80,80,11136,11136
wide1024,4,augmented_component_clones,40,40,5440,5440
wide1024,4,augmented_scaled_cloned,108,108,14960,14960
wide1024,4,augmented_scaled_borrowed,88,88,12240,12240
small,5,det,2,2,32,32
small,5,det_sign,2,2,32,32
small,5,solve,17,17,272,272
small,5,matrix_component_clones,0,0,0,0
small,5,matrix_scaled_cloned,0,0,0,0
small,5,matrix_scaled_borrowed,0,0,0,0
small,5,augmented_component_clones,0,0,0,0
small,5,augmented_scaled_cloned,0,0,0,0
small,5,augmented_scaled_borrowed,0,0,0,0
wide256,5,det,489,468,32416,31568
wide256,5,det_sign,474,453,30704,29856
wide256,5,solve,723,697,52768,51712
wide256,5,matrix_component_clones,42,42,1696,1696
wide256,5,matrix_scaled_cloned,126,126,5408,5408
wide256,5,matrix_scaled_borrowed,105,105,4560,4560
wide256,5,augmented_component_clones,52,52,2112,2112
wide256,5,augmented_scaled_cloned,140,140,6032,6032
wide256,5,augmented_scaled_borrowed,114,114,4976,4976
wide1024,5,det,572,551,127272,124408
wide1024,5,det_sign,555,534,121336,118472
wide1024,5,solve,859,833,206416,202864
wide1024,5,matrix_component_clones,42,42,5728,5728
wide1024,5,matrix_scaled_cloned,126,126,17504,17504
wide1024,5,matrix_scaled_borrowed,105,105,14640,14640
wide1024,5,augmented_component_clones,52,52,7104,7104
wide1024,5,augmented_scaled_cloned,140,140,19472,19472
wide1024,5,augmented_scaled_borrowed,114,114,15920,15920
small,6,det,24,24,384,384
small,6,det_sign,24,24,384,384
small,6,solve,78,78,1368,1368
small,6,matrix_component_clones,0,0,0,0
small,6,matrix_scaled_cloned,0,0,0,0
small,6,matrix_scaled_borrowed,0,0,0,0
small,6,augmented_component_clones,0,0,0,0
small,6,augmented_scaled_cloned,0,0,0,0
small,6,augmented_scaled_borrowed,0,0,0,0
wide256,6,det,774,743,58192,56896
wide256,6,det_sign,758,727,56016,54720
wide256,6,solve,1124,1087,86984,85432
wide256,6,matrix_component_clones,62,62,2592,2592
wide256,6,matrix_scaled_cloned,187,187,8304,8304
wide256,6,matrix_scaled_borrowed,156,156,7008,7008
wide256,6,augmented_component_clones,74,74,3104,3104
wide256,6,augmented_scaled_cloned,215,215,9584,9584
wide256,6,augmented_scaled_borrowed,178,178,8032,8032
wide1024,6,det,1022,991,260440,256168
wide1024,6,det_sign,1002,971,252792,248520
wide1024,6,solve,1521,1484,397856,392752
wide1024,6,matrix_component_clones,62,62,8544,8544
wide1024,6,matrix_scaled_cloned,187,187,26256,26256
wide1024,6,matrix_scaled_borrowed,156,156,21984,21984
wide1024,6,augmented_component_clones,74,74,10208,10208
wide1024,6,augmented_scaled_cloned,215,215,30224,30224
wide1024,6,augmented_scaled_borrowed,178,178,25120,25120
small,7,det,72,72,1184,1184
small,7,det_sign,70,70,1152,1152
small,7,solve,254,254,5120,5120
small,7,matrix_component_clones,0,0,0,0
small,7,matrix_scaled_cloned,0,0,0,0
small,7,matrix_scaled_borrowed,0,0,0,0
small,7,augmented_component_clones,0,0,0,0
small,7,augmented_scaled_cloned,0,0,0,0
small,7,augmented_scaled_borrowed,0,0,0,0
wide256,7,det,1149,1106,96504,94664
wide256,7,det_sign,1132,1089,93768,91928
wide256,7,solve,1631,1581,149976,147832
wide256,7,matrix_component_clones,86,86,3680,3680
wide256,7,matrix_scaled_cloned,260,260,11808,11808
wide256,7,matrix_scaled_borrowed,217,217,9968,9968
wide256,7,augmented_component_clones,100,100,4296,4296
wide256,7,augmented_scaled_cloned,291,291,13304,13304
wide256,7,augmented_scaled_borrowed,241,241,11160,11160
wide1024,7,det,1764,1721,519136,513168
wide1024,7,det_sign,1743,1700,509696,503728
wide1024,7,solve,2563,2513,799792,792848
wide1024,7,matrix_component_clones,86,86,11936,11936
wide1024,7,matrix_scaled_cloned,260,260,36768,36768
wide1024,7,matrix_scaled_borrowed,217,217,30800,30800
wide1024,7,augmented_component_clones,100,100,13896,13896
wide1024,7,augmented_scaled_cloned,291,291,41336,41336
wide1024,7,augmented_scaled_borrowed,241,241,34392,34392
small,8,det,141,141,2464,2464
small,8,det_sign,139,139,2432,2432
small,8,solve,461,461,10240,10240
small,8,matrix_component_clones,0,0,0,0
small,8,matrix_scaled_cloned,0,0,0,0
small,8,matrix_scaled_borrowed,0,0,0,0
small,8,augmented_component_clones,0,0,0,0
small,8,augmented_scaled_cloned,0,0,0,0
small,8,augmented_scaled_borrowed,0,0,0,0
wide256,8,det,1644,1587,162992,160520
wide256,8,det_sign,1626,1569,159640,157168
wide256,8,solve,2226,2161,232192,229368
wide256,8,matrix_component_clones,114,114,4952,4952
wide256,8,matrix_scaled_cloned,345,345,15856,15856
wide256,8,matrix_scaled_borrowed,288,288,13384,13384
wide256,8,augmented_component_clones,130,130,5664,5664
wide256,8,augmented_scaled_cloned,371,371,17144,17144
wide256,8,augmented_scaled_borrowed,306,306,14320,14320
wide1024,8,det,2959,2902,1039840,1031896
wide1024,8,det_sign,2937,2880,1028424,1020480
wide1024,8,solve,4203,4138,1561032,1551968
wide1024,8,matrix_component_clones,114,114,15896,15896
wide1024,8,matrix_scaled_cloned,345,345,48976,48976
wide1024,8,matrix_scaled_borrowed,288,288,41032,41032
wide1024,8,augmented_component_clones,130,130,18144,18144
wide1024,8,augmented_scaled_cloned,371,371,52952,52952
wide1024,8,augmented_scaled_borrowed,306,306,43888,43888
