run,family,dimension,operation,cloned_mean_ns,cloned_lower_95_ns,cloned_upper_95_ns,borrowed_mean_ns,borrowed_lower_95_ns,borrowed_upper_95_ns,change_pct
initial,small,2,det_row_cleared_bareiss,253.57996602286676,251.96233109059892,255.04279379555084,240.09172332068007,239.68896652674255,240.497109951427,-5.31912789237079
initial,small,2,det_sign_row_cleared_bareiss,148.14185815945484,147.6334757091275,148.65083771167528,142.18300290610006,141.4753237356683,142.9555694001452,-4.022398076673827
initial,small,2,solve_row_cleared_bareiss,934.8261988000057,931.5700652199237,938.3629864625598,935.1289940035239,932.1982732004009,938.6304464889907,0.0323905346156117
initial,small,3,det_row_cleared_bareiss,692.8203575919379,689.1890648032097,696.3196203901136,684.3753106575886,682.6786084312726,686.0754923596298,-1.2189374694043464
initial,small,3,det_sign_row_cleared_bareiss,483.9731143083831,480.6555687245251,487.33367139791756,470.25877061014023,468.9244820488141,471.73477895412253,-2.8336994954443306
initial,small,3,solve_row_cleared_bareiss,2428.1495869333858,2415.5923180930426,2440.6810646904914,2356.626156687433,2349.201778640446,2364.172751396604,-2.9455940701035077
initial,small,4,det_row_cleared_bareiss,1421.6166379336328,1417.5998579343288,1425.6836793333596,1423.7600908964494,1421.2002068412194,1426.3283118111437,0.15077573697590552
initial,small,4,det_sign_row_cleared_bareiss,1049.4218658115506,1042.1732456845484,1057.3132069056956,1033.9447768550845,1030.9407562154147,1037.4259512358142,-1.474820514102515
initial,small,4,solve_row_cleared_bareiss,5240.309187965997,5222.235035716053,5260.991009197907,5239.541006748381,5219.774497195444,5260.018951147271,-0.014659081936996277
initial,small,5,det_row_cleared_bareiss,2206.486054640564,2194.872216601879,2218.0293565014185,2136.3396833684014,2132.1194427147243,2140.4354701036186,-3.1790987812786886
initial,small,5,det_sign_row_cleared_bareiss,1648.5518483486487,1646.14546041875,1650.902536307032,1638.659555086847,1635.7774740124396,1641.507365025709,-0.6000595778477225
initial,small,5,solve_row_cleared_bareiss,9358.726122771854,9311.279654313166,9414.174220386622,9087.67277903307,9057.693035825745,9117.086275658014,-2.8962632326556825
initial,small,6,det_row_cleared_bareiss,3742.6766210949822,3722.258597008504,3764.9707740236,3709.3586507024793,3702.95943450328,3716.227941921543,-0.8902177175744153
initial,small,6,det_sign_row_cleared_bareiss,3096.8749833531574,3083.4692392212646,3110.7771110991725,3066.1203151986165,3060.230529540134,3072.2637455138793,-0.993087170772422
initial,small,6,solve_row_cleared_bareiss,17921.256426024887,17837.570604368004,18018.398889566866,16845.38343614974,16764.349665624974,16935.64994028919,-6.003334611700472
initial,small,7,det_row_cleared_bareiss,5984.321715079504,5976.7222336995965,5992.614175568864,6079.288623048817,6064.0040892789,6095.369331214466,1.5869285190669435
initial,small,7,det_sign_row_cleared_bareiss,5137.968719307963,5130.350889156592,5146.419128014786,5179.314648764177,5158.480119822258,5202.670065907994,0.8047135300929487
initial,small,7,solve_row_cleared_bareiss,28748.124722412427,28680.189422873147,28821.275748153945,28842.567433066582,28781.916352354525,28903.681667646855,0.32851781313070205
initial,small,8,det_row_cleared_bareiss,9027.476654049626,8993.09945625195,9064.87673649973,9081.470098171674,9045.937224412008,9119.54735671373,0.5981011770086031
initial,small,8,det_sign_row_cleared_bareiss,8294.164705598829,8259.575585194452,8330.68695396005,8334.572391224432,8314.869134246012,8353.771486188693,0.48718209801557055
initial,small,8,solve_row_cleared_bareiss,42235.52081951432,42127.08141069668,42353.47654831486,43754.96919474227,43498.03367093075,44046.820845477334,3.597560408266376
initial,wide1024,2,det_row_cleared_bareiss,43253.44432465209,43187.45136477649,43320.63902083123,43591.13156752431,43486.737269063786,43694.18934031898,0.7807175778594688
initial,wide1024,2,det_sign_row_cleared_bareiss,1493.0154725671891,1490.4472021981742,1495.6659211730023,1469.0053076038164,1465.859973030293,1472.1389103847846,-1.6081658498882212
initial,wide1024,2,solve_row_cleared_bareiss,4264.834356562572,4247.291910909457,4286.479593315413,4245.171639132766,4232.841149608623,4259.653064259881,-0.4610429335795696
initial,wide1024,3,det_row_cleared_bareiss,71279.0930240481,71190.98384093125,71374.31283523676,71799.40166597803,71676.13258594867,71922.51656188311,0.7299596836261468
initial,wide1024,3,det_sign_row_cleared_bareiss,5497.708936902366,5485.331174732604,5509.94737240965,5427.316146931495,5416.158122274215,5438.550828192502,-1.2804022689955952
initial,wide1024,3,solve_row_cleared_bareiss,16158.020254805919,16137.049956237013,16178.91394917461,16205.757122182202,16153.220788965784,16262.983199300976,0.29543760079200343
initial,wide1024,4,det_row_cleared_bareiss,114503.67813268071,114343.13198047389,114669.28278828884,114301.53373736136,114167.42569507592,114438.78369704935,-0.17653965236393843
initial,wide1024,4,det_sign_row_cleared_bareiss,12404.378821985136,12389.041481368724,12420.351806275245,12306.046504870448,12286.63630180919,12326.163087398034,-0.7927226225984518
initial,wide1024,4,solve_row_cleared_bareiss,46957.78917919817,46853.121442492076,47045.570018731625,47035.30032516616,46923.36355916813,47145.623546080555,0.16506557766635677
initial,wide1024,5,det_row_cleared_bareiss,195164.91849691936,194079.50060597592,196309.77789348917,192784.26525094974,192637.23776634166,192956.97138595063,-1.219816176136801
initial,wide1024,5,det_sign_row_cleared_bareiss,46703.79071479752,46588.87439223618,46821.73781921861,46629.29767066524,46288.513862910804,47060.13003920405,-0.1595010661707974
initial,wide1024,5,solve_row_cleared_bareiss,99104.11678958892,98856.47135997326,99355.47036390926,99258.95235200635,99079.17371145758,99425.98083513007,0.15623524777095277
initial,wide1024,6,det_row_cleared_bareiss,309651.21876115206,309367.36619823833,309919.42197307193,312392.3382663883,311877.920727207,312962.43881766626,0.8852280692460468
initial,wide1024,6,det_sign_row_cleared_bareiss,111420.10904309618,111157.52372176565,111750.82376146427,110604.06871975167,110355.64709187369,110951.0941229689,-0.7323995016275564
initial,wide1024,6,solve_row_cleared_bareiss,221022.28187242235,220249.63872861385,221815.9275382091,220216.88740298862,219928.42430983591,220531.5277608695,-0.3643951472271034
initial,wide1024,7,det_row_cleared_bareiss,516574.66151775816,515824.41605357826,517315.9037611137,521815.28600350936,520237.413944002,523955.94087080914,1.0144950722812407
initial,wide1024,7,det_sign_row_cleared_bareiss,250808.2211784118,249001.17383792633,252684.879869306,243364.77694905738,242591.57168354775,244251.95496619339,-2.9677831908307084
initial,wide1024,7,solve_row_cleared_bareiss,451145.5924282504,450405.69652945816,451842.03678534547,454615.76148771425,453729.32061763975,455574.30738555937,0.7691905047295222
initial,wide1024,8,det_row_cleared_bareiss,854057.6782677597,850531.375414877,858055.2965622818,848247.5956232335,847142.7226192092,849372.3769559221,-0.6802916000135384
initial,wide1024,8,det_sign_row_cleared_bareiss,485427.1053772989,484688.5148746054,486163.51031838043,480891.031090378,479327.6646398089,482344.6072261043,-0.934450144351795
initial,wide1024,8,solve_row_cleared_bareiss,872855.6975649443,868457.8054307268,876848.7696881484,855996.6228438397,854521.3119870181,857309.7746720805,-1.9314847537957647
initial,wide256,2,det_row_cleared_bareiss,9996.067227363446,9941.263786843734,10051.344621287762,10330.675304415905,10269.861275277328,10392.901538649916,3.347397225745885
initial,wide256,2,det_sign_row_cleared_bareiss,1165.0279960489554,1159.7640801549271,1170.423228960023,1113.853347499166,1109.291589290403,1118.6752918419945,-4.392568137705
initial,wide256,2,solve_row_cleared_bareiss,3558.7792081803223,3502.023771461229,3621.5609032203733,3309.5228163818965,3302.301257468759,3316.69410383133,-7.003985839455207
initial,wide256,3,det_row_cleared_bareiss,15091.340882542921,15063.144398690873,15119.532802665939,15211.898248103882,15166.780503446134,15249.283539272928,0.7988512518487756
initial,wide256,3,det_sign_row_cleared_bareiss,4329.312080635126,4315.244958686591,4343.482852380629,4267.239110699776,4242.399707269363,4293.060311504038,-1.4337836769264367
